title,description,creator,date,subject,source,orig-id,rights,type,format,object-id
"We Read an Amazing Story, Chapter 4 with Editors Corrections 2","Chapter 4 begins by expressing that many organized religions and reporters in national publications like Colliers and Time have misrepresented the message of Psychiana and Psychiana's doctrine. Chapter goes on to describe the origins of Psychiana and clarifies the nature of Christ, Psychiana's teachings, and God's Power here on earth. This draft of chapter includes editorial corrections in ink. Missing pages 140 - 150.","Robinson, Frank B.",1946,God-Power; Psychiana Criticism; Psychiana Origins; God on Earth,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f1_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,0
Out of this Chaos - What?,"Twelve page typescript, written by Robinson during World War II, opens with the statement that a new civilization will be the result of the chaos war has created, but soon Robinson returns to his themes of the similarities between religions and ends the typescript with a description of the beginning of Psychiana.","Robinson, Frank B.",1943,World War; Doctrine Parallels; Psychiana Origin; Psychiana Prophecies;,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f16_a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,1
The Evolution of Religion,"Typescript of an article on societal evolution in the face of what Robinson calls 'the threshold of the greatest spiritual awakening' in history. Robinson divides religion into exoteric and esoteric evolution, and discusses evolution in both categories.","Robinson, Frank B.",1939-01-25,Origin of Religions; Sin; Sacrifice,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,2
Article and Response,"Typescript begins with an article from the Kansas City Star. Robinson follows this article with a response accusing the writer, a Methodist minister, of apologizing for his beliefs and 'poking fun at science.' Robinson asserts he would never apologize for his beliefs in Psychiana.","Robinson, Frank B.",1939-02-01,Science and Technology; Methodists,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,3
Being Big,"Typescript of an article begins with an anecdote of a woman in Robinson's home who says she can't get into the Christmas Spirit. Robinson uses this as a platform to discuss that he would play his own hymns in his own home regardless of the nature of the holiday or his guests religious beliefs. He asserts, in his home, other beliefs are not true.","Robinson, Frank B.",1939-02-08,Christmas; Freedom of Religion,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,4
The World Under God,"Typescript of an article begins with Robinson asking a question,'What will the world be like if the knowledge of the Spirit of God is universal?' Robinson discusses the impacts of war and equates the fight for beliefs to a religious war.","Robinson, Frank B.",1939-02-15,World War II; Religious War; Spirit of God,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,5
The New Revelation of God,Typescript of an article on what Robinson claims happens to a member of Psychiana after they eliminate the fear of sin impressed upon them by orthodox religions and begin to realize the power of the Spirit of God in their own lives. Robinson uses testimonials from Psychiana Students.,"Robinson, Frank B.",1939-03-01,Spirit of God; Sin; Wealth and Success,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,6
Making Us Free,Typescript of an article begins with a quote from a Christmas card wishing Robinson a successful 50 years ahead. This prompts Robinson to state that if the Spirit of God isn't revealed to everyone in 10 years he will be disappointed. Robinson also discusses a plan to organize all religious leaders to talk.,"Robinson, Frank B.",1939-03-08,Religious Leadership; Psychiana Growth,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,7
1938 National Convention Speech - Lecture 3,"One of four lectures delivered at the 1938 National Convention. In lecture three Robinson promises to provide examples of the Power of the Spirit of God manifested in every living thing. He uses several examples, including a flower that will not grow in sawdust but will grow in dirt because of a cosmic order that governs every living thing. Another example is plants that will grow in one climate and not another, among several other examples.","Robinson, Frank B.",1938-10-04,Spirit of God; God-Law; Examples of God-Law,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f38_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,8
1938 National Convention Speech - Lecture 4,"One of four lectures delivered at the 1938 National Convention. In lecture four, Tenney begins by affirming that he will continue to support Psychiana and hopes to see a younger crowd. Robinson takes over, refuting accusations that he is an atheist. Robinson elaborates on how he differs from other orthodox religions on creed and dogma, but they all agree on the existence of God.","Robinson, Frank B.",1938-10-04,Spirit of God; Psychiana Criticism,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f38_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,9
