title,creator,description,date,date is approximate?,source,subject,category,coverage,rights,rightsstatement,language,digitization specifications,date digital,identifier,publisher,relation,collection,type,media type,format,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid,collectionid
Eleanor Roosevelt Plants Tree,,"Planting tree during visit, 1938.",1938,,"PG 3, Portrait Collection, 3-19 to 3-37","Roosevelt, Anna Eleanor; trees; military; women;",Portrait;,United States--Idaho--Latah County--Moscow,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,300 dpi jpg displayed; Master file is a 400 dpi Tiff.,2010-06,3-36a,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Student Organizations,Image;StillImage,Black and white prints,image/jpg,2010-06-04,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/164,164,165.jpg,/spec_uihp/image/165.jpg,troosevelt001,spec_uihp
Eleanor Roosevelt at Press Conference,Hutchinson Studio,"Press Conference, 1938.  President Dale's home. Caption: Left to right: Victor Skiles, ?, ?, Mrs. F. D. Roosevelt.",1938,,"PG 3, Portrait Collection, 3-19 to 3-37","Roosevelt, Anna Eleanor; Skiles, Victor; press conferences; women; reporters; ",Portrait;,United States--Idaho--Latah County--Moscow,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,300 dpi jpg displayed; Master file is a 400 dpi Tiff.,2010-06,3-36n,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Student Organizations,Image;StillImage,Black and white prints,image/jpg,2010-06-04,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/165,165,166.jpg,/spec_uihp/image/166.jpg,troosevelt002,spec_uihp
Eleanor Roosevelt Touring UI Campus,Hutchinson Studio,Eleanor Roosevelt and an unidentified woman ride in an automobile as they tour the University of Idaho Campus.,1938,,"PG 3, Portrait Collection, 3-19 to 3-37","Roosevelt, Anna Eleanor; automobiles; women;",Portrait;,United States--Idaho--Latah County--Moscow,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,300 dpi jpg displayed; Master file is a 400 dpi Tiff.,2010-06,3-36i,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Student Organizations,Image;StillImage,Black and white prints,image/jpg,2010-06-04,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/168,168,169.jpg,/spec_uihp/image/169.jpg,troosevelt003,spec_uihp
Governor Hawley introducing Colonel Roosevelt at the University of Idaho,"Burns, Robert (Moscow, Idaho)","Former president, Colonel Theodore Roosevelt, sits on a platform in front of the University of Idaho Administration Building during his visit to the university in 1911. Writing on image: 'Governor Hawley introducing Colonel Roosevelt at Moscow Ida. Copyright by Robert Burns 4-10-11. Platform made of wheat threshed with the Idaho National Harvester #4'.",1911-04-11,,PG_6-7-2,"Roosevelt, Theodore; buildings; ",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-2,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/391,391,401.jp2,/spec_uihp/image/401.jp2,troosevelt004,spec_uihp
"Colonel Roosevelt at Moscow, Idaho","Burns, Robert (Moscow, Idaho)",Theodore Roosevelt with a group of standing men. Roosevelt is wearing a top hat. To his left is University of Idaho president James MacLean. Writing on image: 'Colonel Roosevelt at Moscow Idaho 4-10-11 Burns photo #8',1911-04-11,,PG_6-7-1,"Roosevelt, Theodore;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-1,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/392,392,402.jp2,/spec_uihp/image/402.jp2,troosevelt005,spec_uihp
"Theodore Roosevelt Speaks at Moscow, Idaho","Burns, Robert (Moscow, Idaho)","Theodore Roosevelt, standing, speaks from a platform in front of University of Idaho Administration Building. Writing on image: 'Roosevelt at Moscow Idaho 4-10-11 Copyright by Robert Burns #5'.",1911-04-11,,PG_6-7-3,"Roosevelt, Theodore; buildings; speeches;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-3,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/393,393,403.jp2,/spec_uihp/image/403.jp2,troosevelt006,spec_uihp
Roosevelt Speaks from Platform,"Burns, Robert (Moscow, Idaho)",Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,,PG_6-7-4,"Roosevelt, Theodore; buildings; speeches;;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-4,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/394,394,404.jp2,/spec_uihp/image/404.jp2,troosevelt007,spec_uihp
Crowd Gathered to Hear Roosevelt Speak,,An image of the crowd assembled near the administration building to hear Theodore Roosevelt speak. Morrill Hall is in the background on the far right with the metallurgical building (which today houses Art & Architecture); both of these buildings would have only been a few years old at this time.,1911-04-11,,PG_6-7-5,"Roosevelt, Theodore;buildings;people;crowds;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-5,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/395,395,405.jp2,/spec_uihp/image/405.jp2,troosevelt008,spec_uihp
Roosevelt Speaks to Crowd,,Theodore Roosevelt speaks from a platform made of sacks of wheat in front of University of Idaho Administration Building; his right arm is raised up.,1911-04-11,,PG_6-7-6,"Roosevelt, Theodore;crowds;speeches;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-6,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/396,396,406.jp2,/spec_uihp/image/406.jp2,troosevelt009,spec_uihp
"Theodore Roosevelt at Moscow, Idaho","Burns, Robert (Moscow, Idaho)",Image shows crowd assembled on University of Idaho campus to hear Roosevelt speak. Writing on image: 'Roosevelt at Moscow Idaho Platform made of wheat threshed with International Harvester. Photo by Robert Burns 4-10-11 Copyright #11',1911-04-11,,PG_6-7-9,"Roosevelt, Theodore;crowds;speeches;people;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-9,"Special Collections and Archives, University of Idaho Library: http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpg,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/397,397,407.jp2,/spec_uihp/image/407.jp2,troosevelt010,spec_uihp
